	Column	B_CD5	B_Memory	B_Naive	CD4_Central_Memory	CD4_Effector_Memory	CD4_Naive	CD4_Th1	CD4_Th17	CD4_Th2	CD4_Treg	CD8_Central_Memory	CD8_Effector	CD8_Naive	P-value	Pearson Correlation	RMSE	cohort	metric	processing	data_col	cohort_sample_id	incut_sample_id	cutname
0	0	0.3452923459409521	0.10946237989201882	0.0	0.0	0.0	0.0	0.4023257113327955	0.0	0.05299502718863888	0.0	0.0	0.08992453564559467	0.0	0.09	0.2571563933158341	1.0365394543541058	tcgakirc	counts	raw	est_counts	1	1	cut1
1	1	0.1905116028086517	0.3381384325395884	0.0	0.1182177443617438	0.0	0.15544433935589255	0.0	0.04093004331119073	0.0	0.0	0.0	0.1567578376229328	0.0	0.06	0.28390316889808315	1.0580574821079225	tcgakirc	counts	raw	est_counts	2	2	cut1
2	2	0.0059193819040353635	0.3824261888556688	0.0	0.0	0.1172544247211572	0.0	0.4185002456065725	0.0	0.03475934889763943	0.025005051439285712	0.0	0.0	0.01613535857564104	0.09	0.27185574799513995	1.045246499530968	tcgakirc	counts	raw	est_counts	3	3	cut1
3	3	0.13120552664522134	0.2573992404845785	0.0	0.05812769310932436	0.04520722006475682	0.16565496962950632	0.27040517789713936	0.0	0.010426381643992072	0.012020729725553543	0.0	0.04955306079992764	0.0	0.19	0.10130531411157012	1.144795346954518	tcgakirc	counts	raw	est_counts	4	4	cut1
4	4	0.0	0.4316720128429083	0.0	0.22988892601643354	0.0	0.0	0.17387733143490247	0.0	0.04442228656833877	0.0	0.0	0.09288456446701517	0.027254878670401755	0.04	0.3084561966780459	1.0294794375623877	tcgakirc	counts	raw	est_counts	5	5	cut1
5	5	0.24164566444508365	0.2289022686616897	0.0	0.1469151400366766	0.0	0.14113133500243985	0.0	0.0	0.0	0.0	0.0	0.2414055918541101	0.0	0.14	0.1729326312418319	1.10528958015956	tcgakirc	counts	raw	est_counts	6	6	cut1
6	6	0.009320983639961512	0.3824596240747408	0.0	0.0	0.14168441380745425	0.00819267100711773	0.3986868296020363	0.0	0.04658430268272396	0.013071175185965456	0.0	0.0	0.0	0.09	0.2746043431475125	1.0447183276501	tcgakirc	counts	raw	est_counts	7	7	cut1
7	7	0.20319734530346686	0.18587194423528486	0.0	0.09290137082134403	0.0	0.10103085837658356	0.2215633131360216	0.0	0.09886842066709252	0.0	0.0	0.09656674746020644	0.0	0.09	0.2272189825818511	1.0575779789223567	tcgakirc	counts	raw	est_counts	8	8	cut1
8	8	0.0	0.30357554211675736	0.0	0.0	0.1568419333740638	0.0	0.4160697209810403	0.0	0.033332006055326845	0.0	0.0	0.0	0.09018079747281167	0.46	0.0157115452062198	1.179151734939769	tcgakirc	counts	raw	est_counts	9	9	cut1
9	9	0.2481243870319213	0.3365584854882276	0.0	0.1236552924588776	0.0	0.107503216301223	0.0	0.0	0.0	0.0011862082361184813	0.0	0.18297241048363205	0.0	0.04	0.2985322746113879	1.0585412514940578	tcgakirc	counts	raw	est_counts	10	10	cut1
